,Unnamed: 0_x,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
33,34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,photo,studying,positive,75
34,35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,photo,studying,negative,0
35,36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,photo,studying,positive,75
36,37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,photo,studying,positive,30
37,38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,photo,studying,negative,10
38,39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,photo,studying,negative,15
39,40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29 21:33:04,photo,studying,negative,10
40,41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01,photo,studying,positive,70
41,42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44,photo,studying,positive,30
42,43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,photo,studying,neutral,20
43,44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42,photo,studying,negative,12
44,45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11,photo,studying,negative,5
45,47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,photo,healthy eating,negative,10
46,48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,photo,healthy eating,positive,45
47,49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,photo,healthy eating,neutral,35
48,50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56,photo,healthy eating,negative,15
49,51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,photo,healthy eating,negative,5
50,52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,photo,healthy eating,negative,0
51,53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28,photo,healthy eating,negative,5
52,54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,photo,healthy eating,positive,50
53,55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,photo,healthy eating,positive,65
54,56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-08-31 00:21:56,photo,healthy eating,positive,65
55,57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,photo,healthy eating,positive,60
56,58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,photo,healthy eating,neutral,20
57,59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11,photo,healthy eating,neutral,35
58,60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,photo,healthy eating,positive,65
59,61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19,photo,healthy eating,positive,50
60,63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,photo,healthy eating,negative,5
61,64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,photo,healthy eating,positive,75
62,65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,photo,healthy eating,positive,72
63,66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13,photo,healthy eating,negative,15
64,67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31,photo,healthy eating,positive,70
65,68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34,photo,healthy eating,positive,72
66,69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:19,photo,healthy eating,positive,30
67,70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:41,photo,healthy eating,positive,60
68,71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 07:56:56,photo,healthy eating,positive,50
69,72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-05 18:00:42,photo,healthy eating,positive,50
70,73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:37,photo,healthy eating,negative,5
71,74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 02:42:43,photo,healthy eating,positive,30
72,75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 08:38:47,photo,healthy eating,negative,10
73,76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 08:00:05,photo,healthy eating,neutral,35
74,77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09,photo,healthy eating,positive,60
75,78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:54,photo,healthy eating,positive,75
76,79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:07,photo,healthy eating,positive,70
77,80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:01,photo,healthy eating,negative,5
78,81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:17,photo,healthy eating,negative,10
79,82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-12-11 14:08:51,photo,healthy eating,negative,15
80,83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:18,photo,healthy eating,negative,10
81,84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 00:33:42,photo,healthy eating,positive,70
82,85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:56,photo,healthy eating,positive,30
83,86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29 19:41:49,photo,healthy eating,positive,65
84,87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:27,photo,healthy eating,positive,60
85,88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,photo,healthy eating,negative,0
86,89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07 04:09:29,photo,healthy eating,positive,72
87,90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23 21:19:27,photo,healthy eating,positive,72
88,91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14 23:53:51,photo,healthy eating,positive,72
89,92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,2020-08-04 19:26:08,photo,healthy eating,negative,12
90,93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12 04:54:46,photo,healthy eating,positive,30
91,95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,2021-04-03 12:17:12,photo,technology,negative,12
92,96,356fff80-da4d-4785-9f43-bc1261031dc6,want,2020-09-27 22:15:54,photo,technology,positive,70
93,97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27 05:45:15,photo,technology,positive,60
94,98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,2020-10-15 09:11:23,photo,technology,negative,15
95,99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07 09:16:35,photo,technology,positive,60
96,100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,2020-09-16 08:39:40,photo,technology,negative,5
97,101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,2020-10-29 15:38:26,photo,technology,neutral,20
98,103,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24 18:03:26,video,food,negative,15
99,105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-02-25 20:02:53,GIF,cooking,positive,30
100,106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,2021-05-02 03:45:03,GIF,cooking,negative,5
101,107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,2021-01-28 08:49:29,GIF,cooking,positive,70
102,108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2021-02-15 13:06:04,GIF,cooking,neutral,35
103,109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2020-11-04 21:25:52,GIF,cooking,negative,10
104,110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,2020-06-23 22:12:03,GIF,cooking,positive,65
105,111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-02-16 04:01:15,GIF,cooking,positive,70
106,112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-01-03 08:44:25,GIF,cooking,positive,30
107,113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2020-11-25 12:45:41,GIF,cooking,positive,72
108,114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2020-12-03 16:47:33,GIF,cooking,positive,50
109,115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2021-05-22 21:03:24,GIF,cooking,positive,50
110,116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-01-18 13:39:54,GIF,cooking,positive,70
111,117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2021-01-06 00:35:24,GIF,cooking,neutral,20
112,118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-14 14:33:17,GIF,cooking,positive,72
113,119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,2021-05-27 15:21:54,GIF,cooking,negative,12
114,120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-07-21 02:12:26,GIF,cooking,neutral,35
115,121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-05-26 06:09:46,GIF,cooking,negative,10
116,122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-02-25 03:16:57,GIF,cooking,negative,10
117,123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,2020-12-07 22:50:16,GIF,cooking,positive,45
118,124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2020-10-24 14:06:32,GIF,cooking,neutral,20
119,125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-09-01 21:18:45,GIF,cooking,neutral,35
120,126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-10 22:07:25,GIF,cooking,positive,72
121,128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2021-02-12 16:37:36,video,dogs,positive,70
122,129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-04-28 15:22:49,video,dogs,positive,60
123,130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-24 00:38:50,video,dogs,positive,45
124,131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2021-03-18 01:53:44,video,dogs,negative,12
125,132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:32,video,dogs,negative,0
126,133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-23 04:11:42,video,dogs,positive,60
127,134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-05-21 07:23:46,video,dogs,negative,5
128,135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2021-03-28 23:25:16,video,dogs,positive,50
129,136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,2020-09-16 07:33:24,video,dogs,neutral,35
130,137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2020-11-08 10:53:19,video,dogs,neutral,20
131,138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-06 05:23:29,video,dogs,positive,60
132,139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:56,video,dogs,negative,0
133,140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-09-06 22:35:47,video,dogs,positive,70
134,141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-06-24 09:31:00,video,dogs,positive,30
135,142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-02-07 21:39:16,video,dogs,negative,5
136,143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-21 18:28:01,video,dogs,positive,45
137,144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2021-02-27 00:21:50,video,dogs,negative,10
138,145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-08-22 12:06:49,video,dogs,negative,12
139,146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2020-08-03 06:29:58,video,dogs,positive,70
140,147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-08-02 06:20:43,video,dogs,negative,15
141,148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-06-04 04:57:36,video,dogs,positive,70
142,149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,2020-10-21 09:07:21,video,dogs,positive,75
143,150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2020-12-26 19:46:34,video,dogs,negative,10
144,151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-03-02 22:47:19,video,dogs,negative,15
145,152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2021-03-31 09:48:00,video,dogs,neutral,20
146,153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2021-06-14 13:44:48,video,dogs,positive,30
147,154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-12-27 17:04:31,video,dogs,negative,15
148,155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-02-11 03:51:01,video,dogs,negative,15
149,156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-07 19:07:35,video,dogs,positive,30
150,157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-28 08:31:27,video,dogs,positive,30
151,158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-26 05:27:32,video,dogs,positive,30
152,159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-09-26 18:43:58,video,dogs,negative,12
153,160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-11-25 13:01:22,video,dogs,negative,15
154,161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-07-11 05:51:54,video,dogs,positive,60
155,162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-19 16:23:19,video,dogs,positive,60
156,163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-11 18:31:06,video,dogs,positive,30
157,164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-11-02 20:15:03,video,dogs,positive,60
158,165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-10-01 03:35:13,video,dogs,positive,70
159,166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:20,video,dogs,negative,0
160,167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-02-07 15:59:10,video,dogs,positive,70
161,168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2020-10-17 11:46:24,video,dogs,negative,5
162,169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2020-08-09 19:41:24,video,dogs,positive,50
163,170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2021-02-01 02:40:09,video,dogs,positive,65
164,171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,2021-01-30 09:36:48,video,dogs,positive,72
165,173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,2021-03-31 15:24:36,video,technology,positive,70
166,174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2021-02-05 17:00:19,video,technology,positive,75
167,175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2021-02-19 16:29:59,video,technology,positive,60
168,176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,2020-07-25 00:00:21,video,technology,negative,12
169,178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-07-13 02:38:53,photo,soccer,positive,72
170,179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,2021-01-13 13:11:03,photo,soccer,neutral,20
171,180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,2021-01-02 16:46:38,photo,soccer,negative,12
172,181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,2020-11-26 02:25:57,photo,soccer,positive,45
173,182,0bedca96-fb76-4287-a83c-17330ed39cce,want,2020-08-25 19:18:58,photo,soccer,positive,70
174,183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2021-02-01 00:15:07,photo,soccer,negative,5
175,184,0bedca96-fb76-4287-a83c-17330ed39cce,love,2021-06-04 14:36:48,photo,soccer,positive,65
176,185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-08-19 13:38:44,photo,soccer,positive,72
177,186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,2021-04-22 02:08:07,photo,soccer,positive,70
178,187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,2020-06-26 10:33:08,photo,soccer,positive,75
179,188,0bedca96-fb76-4287-a83c-17330ed39cce,like,2020-08-15 18:16:38,photo,soccer,positive,50
180,189,0bedca96-fb76-4287-a83c-17330ed39cce,love,2020-11-26 13:42:17,photo,soccer,positive,65
181,191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-04-14 00:56:54,photo,public speaking,positive,70
182,192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-07-21 21:27:18,photo,public speaking,neutral,20
183,193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2021-03-29 06:57:35,photo,public speaking,negative,10
184,194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-05-20 16:11:03,photo,public speaking,positive,70
185,195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-11-02 06:09:02,photo,public speaking,positive,50
186,196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-10-24 15:37:55,photo,public speaking,neutral,20
187,197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-07 14:42:05,photo,public speaking,positive,60
188,198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-03-04 02:46:37,photo,public speaking,negative,15
189,199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2021-01-07 14:08:59,photo,public speaking,positive,72
190,200,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,2020-07-06 11:18:23,photo,public speaking,neutral,35
191,201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-03-27 04:56:15,photo,public speaking,positive,50
192,202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-11-21 21:25:27,photo,public speaking,positive,45
193,203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2020-08-22 01:25:23,photo,public speaking,positive,70
194,204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,2021-06-14 11:45:51,photo,public speaking,neutral,35
195,205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-07-15 19:28:53,photo,public speaking,negative,12
196,206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2021-03-21 14:39:14,photo,public speaking,positive,45
197,207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,2021-04-07 03:15:32,photo,public speaking,positive,75
198,208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2021-04-24 06:56:18,photo,public speaking,positive,70
199,209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-30 14:05:52,photo,public speaking,positive,60
200,210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-07-19 19:28:53,photo,public speaking,positive,60
201,211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-21 07:08:24,photo,public speaking,negative,15
202,212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-31 13:48:15,photo,public speaking,negative,15
203,213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-12-24 03:24:57,photo,public speaking,negative,5
204,214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 01:44:22,photo,public speaking,negative,0
205,215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 04:14:45,photo,public speaking,negative,0
206,216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-07-14 04:36:58,photo,public speaking,positive,72
207,217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2020-07-15 16:03:17,photo,public speaking,negative,10
208,218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-10-08 17:23:39,photo,public speaking,positive,50
209,219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-11-12 23:55:59,photo,public speaking,positive,60
210,220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-02-21 05:01:29,photo,public speaking,positive,70
211,221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-07-09 08:58:04,photo,public speaking,positive,45
212,222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-06-26 23:45:10,photo,public speaking,positive,72
213,223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-11-20 13:18:45,photo,public speaking,negative,12
214,224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-05-29 21:34:57,photo,public speaking,positive,50
215,225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2021-02-22 02:48:34,photo,public speaking,neutral,20
216,226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-07 18:39:43,photo,public speaking,negative,15
217,227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-10-01 15:10:15,photo,public speaking,positive,72
218,228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-11-21 08:24:23,photo,public speaking,negative,5
219,229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-04-15 13:50:58,photo,public speaking,negative,15
220,230,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,2020-06-30 01:14:13,photo,public speaking,positive,65
221,231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2020-12-01 15:06:19,photo,public speaking,positive,70
222,232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2020-11-07 00:47:34,photo,public speaking,negative,15
223,234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-06-30 13:08:43,GIF,science,positive,75
224,235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,2020-08-04 03:09:30,GIF,science,positive,60
225,236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-28 07:01:21,GIF,science,positive,45
226,237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-10-25 02:39:21,GIF,science,positive,75
227,238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,2020-07-05 03:37:53,GIF,science,negative,12
228,239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,2021-04-28 15:16:13,GIF,science,positive,70
229,240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,2021-01-31 00:54:10,GIF,science,neutral,20
230,241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,2020-08-29 11:37:51,GIF,science,positive,72
231,242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-10-15 12:09:51,GIF,science,positive,45
232,243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2020-08-02 21:20:42,GIF,science,positive,65
